"EDITAR";"C_CONTRATO";"C_CLIENTE";"INICIO_VIGENCIA";"FIN_VIGENCIA";"C_MONEDA";"INVERSION";"INVER_IGV";"MONTO_ORDENAR";"MONTO_OR_IGV";"OBSERVACIONES";"F_CREACION";"C_USUARIO";"RUC_CLIENTE";"NRO_FISICO";"FACTURADO";"TAZA_IGV";"TIPO_CAMBIO";
"
";"T021";"C060";"18/07/10";"29/08/10";"Dolares";"1417,5";"1687";"1400";"1666";"PAGO CONTRACONSUMO FINALIZADA LA PAUTA";"15/07/10";"AUROCO";"20520568884";"CAP 068-2010";"";"19";""
"
";"T029";"C063";"23/07/10";"22/08/10";"Dolares";"7230";"8604";"6000";"7140";"FORMA DE PAGO 100% POR 6100 TICKETS PLAY LAND PARK";"22/07/10";"AUROCO";"20372420040";"CAP 073-2010";"";"19";""
"
";"T042";"C050";"09/08/10";"31/08/10";"Dolares";"3300";"3927";"3300";"3927";"";"17/08/10";"AUROCO";"20501820025";"CAP 076-2010";"";"19";""
"
";"T043";"C042";"16/08/10";"30/09/10";"Dolares";"16470,98";"19600";"16470,98";"19600";"MONTO BRUTO";"17/08/10";"AUROCO";"20138221157";"CAP 093-2010";"";"19";""
"
";"T045";"C072";"19/08/10";"22/08/10";"Dolares";"341,32";"406";"182,66";"217";"";"19/08/10";"AUROCO";"20536083295";"CAP 095-010";"";"19";""
"
";"T046";"C073";"19/08/10";"29/08/10";"Dolares";"8398";"9994";"8398";"9994";"";"19/08/10";"AUROCO";"20519162394";"cap 094-010";"";"19";""
"
";"T051";"C045";"01/09/10";"30/09/10";"Dolares";"5680";"6759";"5680";"6759";"";"02/09/10";"AUROCO";"XXX";"CAP 0100-2010";"";"19";""
"
";"T052";"C076";"01/09/10";"30/09/10";"Dolares";"2400";"2856";"2400";"2856";"";"02/09/10";"AUROCO";"20518018818";"CAP 0101-2010";"";"19";""
"
";"T059";"C060";"01/09/10";"31/10/10";"Dolares";"607,5";"723";"607,5";"723";"";"16/09/10";"AUROCO";"20520568884";"CAP 107-2010";"";"19";""
"
";"T0123";"C056";"01/01/11";"28/02/11";"Dolares";"76730";"91309";"76730";"91309";"DESCONTAR US$ 11,390.00 + IGV DE LAS ORDENES INGRESADAS PARA TELEFECTIVOS";"03/01/11";"AUROCO";"201710362";"CAP 181-2010";"";"19";""
"
";"T090";"C02";"01/11/10";"31/12/10";"Dolares";"50825";"60482";"50825";"60482";"";"22/11/10";"AUROCO";"20517845532";"CAP 142-2010";"";"19";""
"
";"T0122";"C047";"01/01/11";"31/01/11";"Dolares";"7645";"9098";"7645";"9098";"CONTINUACION DEL CONTRATO CAP 148-2010";"03/01/11";"AUROCO";"20462509236";"CAP 180-2010";"";"19";""
"
";"T0124";"C0103";"01/01/11";"28/02/11";"Dolares";"43560";"51836";"43560";"51836";"";"03/01/11";"AUROCO";"20145906254";"CAP 001-2011";"";"19";""
"
";"T0140";"C059";"01/01/11";"31/01/11";"Dolares";"2368";"2818";"2368";"2818";"";"19/01/11";"AUROCO";"20418997355";"CAP 017-11";"";"19";""
"
";"T0207";"C058";"01/03/11";"31/03/11";"Dolares";"8900";"10502";"8900";"10502";"";"04/03/11";"AUROCO";"20344818909";"CAP 076-11";"";"18";""
"
";"T0224";"C0104";"01/03/11";"31/03/11";"Dolares";"375";"443";"375";"443";"";"17/03/11";"AUROCO";"20431684871";"CAP 092-11";"";"18";""
"
";"T0227";"C061";"01/03/11";"31/05/11";"Dolares";"28657,84";"37666";"31920";"37666";"";"22/03/11";"AUROCO";"20218409041";"CAP 083-11";"";"18";""
"
";"T0229";"C0113";"01/03/11";"30/04/11";"Dolares";"425";"502";"425";"502";"";"22/03/11";"AUROCO";"20517420876";"CAP 095-11";"";"18";""
"
";"T0228";"C061";"01/03/11";"31/05/11";"Soles";"17520";"20674";"17520";"20674";"CONTRATO CAP 083-11 (TELEFECTIVOS) MONTO EN DOLARES 6,302.16 + IGV
TIPO DE CAMBIO 2.78";"22/03/11";"AUROCO";"20218409041";"CAP 083-11";"";"18";""
"
";"T0233";"C060";"01/04/11";"31/05/11";"Dolares";"1912,5";"2257";"1912,5";"2257";"";"29/03/11";"AUROCO";"20520568884";"CAP 101-11";"";"18";""
"
";"T0234";"C0106";"01/04/11";"30/04/11";"Soles";"100800";"118944";"100800";"118944";"AVISOS AL FONDO HAY SITIO";"30/03/11";"AUROCO";"20216504390";"CAP 102-11";"";"18";""
"
";"T0235";"C0106";"01/04/11";"30/04/11";"Dolares";"17500";"20650";"17500";"20650";"EL ULTIMO PASAJERO";"30/03/11";"AUROCO";"XXX";"CAP 103-11";"";"18";""
"
";"T0236";"C0106";"01/04/11";"30/04/11";"Dolares";"4800";"5664";"4800";"5664";"AVISOS A PRIMERA HORA";"30/03/11";"AUROCO";"20216504390";"CAP 104-11";"";"18";""
"
";"T0237";"C0106";"01/04/11";"30/04/11";"Soles";"30660";"36179";"30660";"36179";"AVISOS PRIMERA EDICION - PLAN PREMIUM";"30/03/11";"AUROCO";"20216504390";"CAP 105-11";"";"18";""
"
";"T0238";"C0104";"01/04/11";"30/04/11";"Dolares";"375";"442,5";"375";"442,5";"";"30/03/11";"AUROCO";"20431684871";"CAP 106-11";"";"18";"0"
"
";"T0239";"C066";"01/04/11";"30/04/11";"Soles";"31360";"37005";"31360";"37005";"AUSPICIO RECARGADOS DE RISA 
T/C 2.80";"30/03/11";"AUROCO";"20100170842";"CAP 108-11";"";"18";""
"
";"T0240";"C01";"01/04/11";"30/04/11";"Dolares";"2610";"3080";"2610";"3080";"PERÍODO DEL 02 AL 18 DE ABRIL.";"31/03/11";"AUROCO";"20374730062";"CAP  097-11";"";"18";""
"
";"T0241";"C066";"01/04/11";"30/04/11";"Dolares";"425";"502";"425";"502";"AVISOS ORDENADOS EN FRECUENCIA LATINA, MOTIVO DE PAUTA CHEFF FRESSON";"31/03/11";"AUROCO";"20100170842";"CAP 109-11";"";"18";""
"
";"T0245";"C070";"01/04/11";"31/05/11";"Dolares";"17653,35";"20831";"17653,35";"20831";"";"07/04/11";"AUROCO";"20511922730";"COM 002-11";"";"18";""
"
";"T0246";"C070";"01/04/11";"31/05/11";"Soles";"34194";"40349";"34194";"40349";"ORDEN AMERICA CONTRATO COM 002-11 MONTO EN DOLARES US$ 12,300.00
TIPO DE CAMBIO 2.78";"07/04/11";"AUROCO";"20511922730";"COM 002-11";"";"18";""
"
";"T0247";"C02";"01/04/11";"30/04/11";"Dolares";"17830";"21039";"17830";"21039";"";"08/04/11";"AUROCO";"20517845532";"CAP 110-11";"";"18";""
"
";"T0248";"C02";"01/04/11";"30/04/11";"Soles";"35862";"42317";"35862";"42317";"ORDENES AMERICA CONTRATO MOBILE SOLUTION CAP 110-11 MONTO EN DOLARES US$ 12,900 TIPO DE CAMBIO 2.78";"08/04/11";"AUROCO";"20517845532";"CAP 110-11";"";"18";""
"
";"T0249";"C0117";"01/04/11";"30/04/11";"Dolares";"3000";"3540";"3000";"3540";"";"08/04/11";"AUROCO";"20510256361";"CAP 107-11";"";"18";""
"
";"T0251";"C0104";"01/04/11";"30/04/11";"Dolares";"375";"443";"375";"443";"";"14/04/11";"AUROCO";"20431684871";"CAP 115-11";"";"18";""
"
";"T0252";"C0106";"01/04/11";"30/04/11";"Dolares";"3360";"3964,8";"3360";"3964,8";"";"14/04/11";"AUROCO";"20216504390";"CAP 116-11";"";"18";""
"
";"T0253";"C0106";"01/04/11";"30/04/11";"Soles";"22960";"27093";"22960";"27093";"MONTO EN DOLARES US$ 8,200 TIPO DE CAMBIO 2.8";"14/04/11";"AUROCO";"20216504390";"CAP 117-11";"";"18";""
"
";"T0264";"C0119";"01/05/11";"30/06/11";"Soles";"69440";"81939";"69440";"81939";"CONTRATO PAUTA EN SOLES PAUTA LADRILLOS PIRAMIDE MONTO EN DOLARES US$ 24,800.00, TIPO DE CAMBIO 2.8";"05/05/11";"AUROCO";"20100132916";"COM 003-11";"";"18";""
"
";"T0255";"C0104";"01/04/11";"30/04/11";"Dolares";"375";"443";"375";"443";"";"26/04/11";"AUROCO";"20431684871";"CAP 119-2011";"";"18";""
"
";"T0256";"C0104";"01/05/11";"31/05/11";"Dolares";"375";"442,5";"375";"442,5";"";"27/04/11";"AUROCO";"20431684871";"CAP 121-11";"";"18";""
"
";"T0263";"C0119";"01/05/11";"30/06/11";"Dolares";"10200";"12036";"10200";"12036";"";"05/05/11";"AUROCO";"20100132916";"COM 003-11";"";"18";""
"
";"T0262";"C05";"01/05/11";"31/07/11";"Dolares";"12140";"14325";"12140";"14325";"";"02/05/11";"AUROCO";"20104443819";"CAP 125-11";"";"18";""
"
";"T0281";"C044";"01/06/11";"30/06/11";"Soles";"20906,59";"24669,7762";"20906,59";"24669,7762";"";"08/06/11";"AUROCO";"20147883952";"CAP 142-11";"";"18";""
"
";"T0266";"C00";"01/05/11";"31/05/11";"Dolares";"3120";"3682";"3120";"3682";"";"11/05/11";"AUROCO";"20100704227";"CAP 130-11";"";"18";""
