"EDITAR";"C_MEDIO";"TIPO";"NOMBRE";"DESCRIPCION";"F_CREACION";"C_USUARIO_CREACION";
"
";"M012";"Televisión";"AMERICA TELEVISION FILIALES";"AMERICA TELEVISION FILIALES";"14-JUN-12";"AUROCO"
"
";"M013";"Televisión";"MEDIOS RADTV";"MEDIOS RADTV";"14-JUN-12";"AUROCO"
"
";"M014";"Televisión";"PANAMERICANA TELEVISION FILIALES";"PANAMERICANA TELEVISION FILIALES";"15-JUN-12";"AUROCO"
"
";"M027";"Televisión";"ATV SUR";"ATV SUR";"21-ABR-14";"AUROCO"
"
";"M016";"Televisión";"TELEVISA NETWORKS";"TELEVISA NETWORKS";"06-DIC-12";"AUROCO"
"
";"M034";"Televisión";"PROGRAMAS INDEPENDIENTES";"PROGRAMAS INDEPENDIENTES";"15-MAY-18";"AUROCO"
"
";"M025";"Televisión";"FRECUENCIA LATINA - ESTELARES";"FRECUENCIA LATINA - ESTELARES";"05-FEB-14";"AUROCO"
"
";"M026";"Televisión";"PANAMERICANA TELEVISION";"PANAMERICANA TELEVISION";"05-FEB-14";"AUROCO"
"
";"M035";"Televisión";"DISCOVERY NETWORKS";"DISCOVERY NETWORKS";"12-JUN-18";"AUROCO"
"
";"M038";"Televisión";"DISNEY";"DISNEY";"06-MAR-19";"AUROCO"
"
";"M040";"Televisión";"EXITOSA TV";"EXITOSA TV";"12-JUN-19";"AUROCO"
"
";"M041";"Televisión";"CAPITAL TV";"CAPITAL TV";"16-AGO-19";"AUROCO"
"
";"M048";"Radio";"STUDIO 92";"STUDIO 92";"09-FEB-23";"AUROCO"
"
";"M047";"Radio";"GRUPO RPP";"GRUPO RPP";"09-FEB-23";"AUROCO"
"
";"M049";"Radio";"LA MEGA";"LA MEGA";"09-FEB-23";"AUROCO"
"
";"M050";"Radio";"OXIGENO";"OXIGENO";"09-FEB-23";"AUROCO"
"
";"M051";"Radio";"FELICIDAD";"FELICIDAD";"09-FEB-23";"AUROCO"
"
";"M052";"Radio";"LA ZONA";"LA ZONA";"09-FEB-23";"AUROCO"
"
";"M053";"Radio";"CORAZON";"CORAZON";"09-FEB-23";"AUROCO"
"
";"M054";"Televisión";"GRUPO DISNEY";"GRUPO DISNEY";"30-MAR-23";"AUROCO"
"
";"M055";"Televisión";"LIGA 2 FUTBOL PERÚ";"LIGA 2 FUTBOL PERÚ";"06-JUL-23";"AUROCO"
"
";"M022";"Televisión";"LATINA - FILIALES";"LATINA - FILIALES";"14-NOV-13";"AUROCO"
"
";"M023";"Televisión";"MEDIANETWORKS INTERNACIONAL";"MEDIANETWORKS INTERNACIONAL";"15-NOV-13";"AUROCO"
"
";"M032";"Televisión";"MEDIAPLANET";"MEDIAPLANET";"10-FEB-17";"AUROCO"
"
";"M029";"Televisión";"RPP TV";"RPP TV";"20-NOV-14";"AUROCO"
"
";"M030";"Televisión";"WILLAX TV";"WILLAX TV";"26-JUL-16";"AUROCO"
"
";"M036";"Televisión";"WIT ENTRETENIMIENTO S.A.C.";"WIT ENTRETENIMIENTO S.A.C.";"28-AGO-18";"AUROCO"
"
";"M042";"Televisión";"MEDIAPRO.";"MEDIAPRO.";"02-SEP-19";"AUROCO"
"
";"M056";"Radio";"CRP MEDIOS Y ENTRETENIMIENTO SAC";"CRP MEDIOS Y ENTRETENIMIENTO SAC";"06-NOV-23";"AUROCO"
"
";"M044";"Televisión";"TURNER";"TURNER";"20-FEB-20";"AUROCO"
"
";"M046";"Televisión";"TELEAVISOS";"TELEAVISOS";"05-MAY-22";"AUROCO"
"
";"M031";"Televisión";"GOLPERU";"GOLPERU";"07-FEB-17";"AUROCO"
"
";"M028";"Televisión";"ATV+";"ATV+";"16-JUN-14";"AUROCO"
"
";"M024";"Televisión";"FOX MEDIA";"FOX MEDIA";"21-NOV-13";"AUROCO"
"
";"M020";"Televisión";"LA TELE";"LA TELE";"21-FEB-13";"AUROCO"
"
";"M033";"Televisión";"SONY - AXN";"SONY - AXN";"09-FEB-18";"AUROCO"
"
";"M037";"Televisión";"DISNEY XD";"DISNEY XD";"06-FEB-19";"AUROCO"
"
";"M039";"Televisión";"VIVA TV";"VIVA TV";"04-JUN-19";"AUROCO"
"
";"M045";"Televisión";"STAR CHANNEL";"STAR CHANNEL";"26-MAR-21";"AUROCO"
"
";"M00";"TelevisiÃ³n";"CANAL 04";"CANAL 04";"21-ENE-10";"VJIMEN"
"
";"M01";"TelevisiÃ³n";"CANAL 09";"CANAL 09";"21-ENE-10";"VJIMEN"
"
";"M02";"TelevisiÃ³n";"CANAL 05";"CANAL 05";"16-APR-10";"VJIMEN"
"
";"M03";"TelevisiÃ³n";"CANAL 07";"CANAL 07";"16-APR-10";"VJIMEN"
"
";"M07";"TelevisiÃ³n";"CANAL 03";"CANAL 03";"25-JUN-10";"AUROCO"
"
";"M04";"TelevisiÃ³n";"CANAL 02";"CANAL 02";"03-JUN-10";"AUROCO"
"
";"M05";"TelevisiÃ³n";"CANAL 06";"CANAL 06";"25-JUN-10";"AUROCO"
"
";"M06";"TelevisiÃ³n";"CANAL 08";"CANAL 08";"25-JUN-10";"AUROCO"
"
";"M08";"Televisión";"GLOBAL";"GLOBAL";"30-JUN-10";"AUROCO"
"
";"M09";"TelevisiÃ³n";"RBC TELEVISION";"RBC TELEVISION";"22-JUL-10";"AUROCO"
"
";"M011";"TelevisiÃ³n";"TELEFECTIVOS";"TELEFECTIVOS";"27-ENE-11";"AUROCO"
